20.6066627	-103.4172973	-0.1053502	5.18	9.5268249
20.6066646	-103.4172973	-0.0957730	4.98	9.5679473
20.6066646	-103.4172973	-0.0933786	4.98	9.6978607
20.6066646	-103.4172973	-0.0957730	4.95	9.7879180
20.6066646	-103.4172973	-0.1053502	5.08	9.7972259
20.6066627	-103.4172973	-0.1005616	5.00	9.9405212
20.6066627	-103.4172973	-0.0766184	5.05	10.0843505
20.6066627	-103.4172973	-0.1029559	4.95	10.0920867
20.6066627	-103.4172973	-0.0670411	4.93	10.0673828
20.6066627	-103.4172973	-0.0742240	5.08	9.9859008
20.6066627	-103.4172973	-0.0718297	4.95	10.0783538
20.6066627	-103.4172973	-0.1029559	5.03	10.2118530
20.6066627	-103.4172973	-0.0885900	5.08	10.6297607
20.6066627	-103.4172973	-0.4573158	4.83	13.7798919
20.6066627	-103.4172973	-0.0167603	5.18	27.5754089
20.6066627	-103.4172973	-0.2154891	4.95	27.9281921
20.6066627	-103.4172973	-0.1388708	5.05	28.4928588
20.6066627	-103.4172973	-0.1580254	4.95	28.7018280
20.6066627	-103.4172973	-0.1699970	4.90	28.9194335
20.6066665	-103.4173049	-0.0622524	5.08	24.6446685
20.6066665	-103.4173049	-1.7071528	5.08	18.4436798
20.6066665	-103.4173049	0.4405556	4.95	10.5433959
20.6066665	-103.4173126	0.5028080	5.05	10.3437194
20.6066665	-103.4173126	0.6608334	4.93	8.2009582
20.6066665	-103.4173126	1.3336383	5.13	3.3292846
20.6066665	-103.4173126	0.5147796	4.93	0.1799316
20.6066646	-103.4173202	2.0902445	5.05	-0.4980774
20.6066646	-103.4173126	0.7398461	5.03	0.5180817
20.6066627	-103.4173126	0.3304167	4.93	0.8028870
20.6066627	-103.4173126	0.9720954	5.08	-0.0700073
20.6066608	-103.4173126	0.0287319	5.08	-1.6003417
20.6066646	-103.4173126	-0.2442210	4.81	-0.2947998
20.6066646	-103.4173126	0.4166123	5.08	2.5283660
20.6066646	-103.4173126	0.7925211	4.95	4.3210296
20.6066646	-103.4173126	0.2107005	5.00	5.6544036
20.6066627	-103.4173126	0.2681643	4.98	5.8344573
20.6066627	-103.4173126	0.2825302	5.08	5.6217346
20.6066627	-103.4173126	0.2059118	5.00	4.6577606
20.6066627	-103.4173126	0.0694354	4.95	4.6074066
20.6066608	-103.4173126	0.1891516	4.95	5.0544891
20.6066589	-103.4173126	0.0574638	4.95	5.1790924
20.6066589	-103.4173126	0.0766184	5.10	6.2801666
20.6066589	-103.4173126	0.0574638	4.93	7.0396881
20.6066570	-103.4173126	-0.0430978	4.95	7.2459869
20.6066570	-103.4173126	-0.0861957	5.21	8.0838012
20.6066570	-103.4173126	-0.1819686	4.95	8.7840728
20.6066570	-103.4173049	-0.5913980	4.95	9.7268981
20.6066570	-103.4173049	-0.2107005	5.00	10.6091918
